"","x"
"573",-0.0589958403506898
"574",-0.0588403077890689
"575",0.05658839222815
"576",-0.17417733781258
"577",0.0756642963842751
"578",0.0755065406046924
"579",0.0753494640848658
"580",0.0751930371607159
"581",0.0750372722977772
"582",0.0748821345259785
"583",0.074727640090714
"584",0.0745737885226845
"585",0.0744205598984991
"586",0.0742679808881803
"587",0.0741160261095501
"588",0.0739646811016428
"589",0.073813976108795
"590",0.0736638734724693
"591",0.0735143802394305
"592",-0.0513761117745162
"593",-0.0512670552689087
"594",-0.175875819804787
"595",-0.175486327434555
"596",-0.175098589566915
"597",-0.17471254904558
"598",-0.174328226250509
"599",-0.173945609994917
"600",-0.173564647331659
"601",0.0576333737608365
"602",-0.173322999131415
"603",-0.172946144019079
"604",-0.172570931914379
"605",-0.172197333258737
"606",-0.0562538285903429
"607",0.0593978249980864
"608",0.0592338210281014
"609",0.059070770343169
"610",0.0589085762585455
"611",0.058747293696797
"612",0.0585868597681838
"613",0.0584273250060505
"614",-0.172662576296716
"615",0.058700443327325
"616",0.0585417808160855
"617",-0.172568173282343
"618",-0.172206879387886
"619",-0.171847094405166
"620",-0.17148878739863
"621",0.0600864257175999
"622",0.059926256957624
"623",0.0597669149010471
"624",0.0596084329899895
"625",0.0594508005378884
"626",0.0592939870421105
"627",0.059138011873074
"628",0.0589828309621225
"629",0.0588284755995119
"630",0.0586749393951322
"631",0.058522180737782
"632",0.058370228847707
"633",0.058219079479386
"634",0.0580686856446846
"635",0.0579190435200871
"636",0.0577701841375529
"637",-0.0577728799726174
"638",-0.0576420116049121
"639",-0.0575117449643585
"640",-0.057382044609767
"641",-0.172758298394911
"642",-0.17241735931384
"643",-0.172077772871489
"644",-0.171739520250412
"645",-0.171402613988903
"646",-0.171067026034507
"647",-0.170732758102531
"648",0.0609833937651274
"649",0.060830962329419
"650",0.0606793325114268
"651",-0.170787287834173
"652",-0.170457348929631
"653",-0.170128671496059
"654",0.0797315891068138
"655",0.0795923264086014
"656",0.0794535669974721
"657",0.0793152793448826
"658",0.0791775005945965
"659",0.0790401872072835
"660",0.0789033277233102
"661",0.0787669894089049
"662",0.0786310896310169
"663",0.0784956592815433
"664",0.0783607020839554
"665",0.0782261976128211
"666",0.0780921720961487
